metric,value,source
train/loss,-0.6282707633105014,reference_run
train/wave_loss,0.00031165408852216916,reference_run
train/spectral_loss,0.052895339774747786,reference_run
train/sisdr_loss,-14.0447158453304,reference_run
train/teacher_mask_loss,0.09872483506138102,reference_run
train/teacher_wave_loss,0.02718334193899616,reference_run
lr,0.0002,reference_run
val_rank/pesq_mean,2.852797957137227,reference_run
val_rank/stoi_mean,0.8579840602070519,reference_run
val_rank/sisdr_mean,13.150760650634766,reference_run
val_rank/delta_snr_mean,7.557092340761691,reference_run
best/val_select_pesq_mean,2.8608383980023087,reference_run
best/val_select_stoi_mean,0.85379410165859,reference_run
best/val_select_sisdr_mean,13.380144119262695,reference_run
best/val_select_delta_snr_mean,7.418442455392723,reference_run
best/inference_seconds_10s,0.003680767685485383,reference_run
test/count,824,evaluate
test/delta_snr_mean,9.569960514669376,evaluate
test/pesq_mean,3.327003804804052,evaluate
test/sisdr_mean,17.918519973754883,evaluate
test/stoi_mean,0.9334712175333594,evaluate
deployability/best_profile_name,ra8p1_ai_audio_rt,evaluate
deployability/best_power_profile_name,apollo4_blue_plus_low_power_rt,evaluate
deployability/best_power_profile_avg_power_mw,5.21668947362957,evaluate
deployability/supported_profile_count,8,evaluate
deployability/power_supported_profile_count,8,evaluate
